userName,score,at,content,app_name
mikumikuda,1,2024-05-28 13:10:08,"The UI is a mess! Sometimes the product don't have details, like where it is shipped from, among many other details. Like at this very moment, I am trying to buy this one specific item but I can't buy it because I. CANT. FUСКING. SEE. WHERE. IT. IS. FROM. and I also can't see the store itself or any details about the store that's why I can't add more into cart because I CAN'T SEE THE FUСКING STORE! Gosh this app is seriously driving me mad! OVERHAUL YOUR WHOLE UI FOR PETE'S SAKE!!!",Lazada
Kristine Jatta,5,2024-05-28 12:04:34,I love 💕 the app because day are many beautiful 😍 thing's here but the problem is how will i pay the money and how will i get my order,Alibaba
Clive Rellin,4,2024-05-28 11:19:04,I love the app but it's just repeating the same ad with nude product whenever I die at my favorite game. I don't really find the app at fault here. Just hate it why they choose to show me the same music with the same products. Almost 3 days still haven't changed,Lazada
MARY DIVINE,5,2024-05-28 10:34:11,"The Electric Bill Payment via this app is amazing. Take note, only for electric bills. The water bill payment system is not cooperating.",Lazada
JEDI Mirakuru,5,2024-05-28 08:00:47,Best Online Shop,Blibli
eye lafd,1,2024-05-28 06:29:31,"good app , good delivery speed and product quality , HORRIBLY INVASIVE ADVERTISING. you cannot open any other app without automatically getting an ad that opens this damn app.",Lazada
Benidiktus Hermanto,5,2024-05-28 04:12:59,"Good, easy transaksi",OLX
Jens Ole Thomsen,4,2024-05-28 02:37:52,Good shop. But you must very very careful when ordering. there are often many different types of the products on one site. so it's easy to make mistakes. They of course always show the cheapest products one the first page,Lazada
Bonggal Budi,5,2024-05-28 00:32:33,"Shopping experience is good, apps performance good. Easy to use and give more payment method. Overall is good to shop",Bukalapak
Moroe Sos,5,2024-05-28 00:13:50,it is a really good app for thing you need like phones bikes and more,Alibaba
Rineksa Trahanggana,1,2024-05-27 21:57:00,"Everytime your ads pop up on other app, your close button is so small that it hard to close. Really? You wanna mess your costumer? I used to buy in this app now im moving to shoppee. Even your social media admin is so cringe euh...",Lazada
Ney Jin Matthew Bautista,1,2024-05-27 21:56:56,"The app is great but the way they promote is absolutely horrible, everytime i get ana dvertisement of them, it auto redjrects me to their app even when i didnt press anything, even when i use my phone it auto redirects me to lazada, i dont think its a virus but if it is then lazada needs to take their chill because im not buying products i dont want even if it keeps forcing me to",Lazada
Dhearny Feyruz,1,2024-05-27 21:50:01,"pricey shipping fee, there r many vouchers can't be used, selalu nge lag pula, lelah aku",Shopee
Kurt Gros,5,2024-05-27 19:56:08,Best Business app I have ever found to use for my construction business.Very user friendly and accurate and on time delivery 🚚 of Products purchased and at a price that I certainly can afford.This is all very important in matters of and pertaining to turning a respectable profit. Thanks a million.,Alibaba
J No,5,2024-05-27 18:02:31,"Easy to use app,lots of quality products at wholesale prices.",Alibaba
Brent Xavier,1,2024-05-27 13:54:43,"Pls let the buyer choose the courier. I hate to compare but sana it has the same feature with Shopee na after checkout, buyer could choose their preferred delivery courier. I will edit my rating once the feature has been added.",Lazada
Dada Panganiban,1,2024-05-27 12:19:02,"Your return policy sucks. It require us to upload a video even if we already uploaded a photo. Shopee doesn't require a video, though.",Lazada
Annie Mbenje,5,2024-05-27 11:03:01,Simple fast and convenience,Alibaba
Jhun Billedo,1,2024-05-27 08:11:47,"My suggestion for you lazada is to speed up the delivery and not change the date of the delivery just to extend your delivery because literally when I order my parcel it said that it will arrive before may 29 because I really need it in that day but you suddenly changed the date of the delivery and how am I gonna use that parcel when literally it Wil arrived after the day I need IT SOO PLEASE KINDLY DELIVER MY PARCEL BEFORE MAY 29, 2024 SO THAT I WON'T REGRET BUYING TO THIS APP PLEASE!!!!!!!!!!!",Lazada
Ayan Aryan,5,2024-05-27 07:37:26,It's soooooo fun you can buy things that are not expensive I can buy everything it's so cheap Please like my comment,Alibaba
Jeremy Koh,2,2024-05-27 07:08:13,Terrible user experience all around. Frustrating to use. Desktop website very incapable.,Lazada
Menora Sendaiba,3,2024-05-27 05:15:27,"1. Laggy. 2. Demand stable and full internet connection especially seller chat. 3. 6 seconds or 30 seconds video with such UI? No thank you. 4. No ""sort by newest date"" review option",Shopee
Jennilyn Linao,1,2024-05-27 03:47:16,Why i cant avail a free shipping voucher even if i reach the condition. And for the long time I use lazada app is more and more annoying!,Lazada
ceniza chem laurence,1,2024-05-27 03:40:12,I ordered an item a phone case they change the delivery date thrice until now I still did not receive I can't even cancel it stupid false advertising they say fast delivery,Lazada
Criselda Latayan,5,2024-05-26 17:42:47,I love this app because it gives me an opportunity to shop at my own convenience at home I don't need to go to the mall to buy anything just one click with my phone at home or even at work,Lazada
Maisam Hassan,1,2024-05-26 16:35:38,Unreliable pricing. The vendors have quoted the wrong pricing structure. Once you get in contact they tell you the prices are completely opposite to the ones mentioned.,Alibaba
Mae Perello,5,2024-05-26 16:24:12,"I always shop through Lazada. I like the app, easy to navigate. I like it also especially because of their reliable courier services and easy return/refund",Lazada
Rovy Tomasowa,5,2024-05-26 16:06:54,BEST APP.. TRUSTED AND RECOMMENDED,Blibli
S “Retired Sinful” Selandono,5,2024-05-26 15:07:35,"I re-installed the e-commerce again after I complained only few items sold in Blibli. Now I have found out countless products are sold here. Crossing my fingers that I don't see fake sellers trying to sell their phony products, like Rolex watches!",Blibli
Aan Ikhya Septiawan,1,2024-05-26 14:44:59,"It's lagging, and keep coming back to the top of the page.",Tokopedia
Stephen Church,1,2024-05-26 12:54:36,"You offer to connect with a clients communication, but then route you to sites to try to sell you other things . You waste my time and build resentment of your attempted manipulations.",Alibaba
Abdul Wahab,2,2024-05-26 11:57:42,"Shopee video is useless. It always play the wrong video or audio, whenever I swiped up to see the next product.",Shopee
yusfi farkhan,2,2024-05-26 11:26:04,"the newest feature for multiple keywords is a menace, it makes the query unreadable and it doesn't even capable to find the specific items.",Tokopedia
Josephine Lucas,4,2024-05-26 10:56:06,I find it to be most convenient to browse for everyday items in the comfort of my home. 👍 Thanks 🙏,Alibaba
Suci Merynda,1,2024-05-26 09:30:55,"Can't log in, try to contact customer service get replied by bot. When i try to connect with cs , i have to log in first which MY PROBLEM is I CAN'T LOG IN. try to contact by phone also need a log in. Dm their Instagram there's no answer too. Then where I should contact you ?!",Shopee
Sachin kumar Ambure,5,2024-05-26 07:43:46,Good application but don't about product are genuine or not bcz shipping done from 1 country to another but prices and all ok good application,Alibaba
Moji Zhang,3,2024-05-26 06:12:20,"A lot of seller didn't respon to chat, suggestions to add 'remove features' from our search results so we can skip adds which doesn't fit criteria. For example some job offer have ages requirements, if we didn't fit those we can remove that add from our feed. Pls make expirement date for job offer adds, or at least make it some sort of requirements to reply chat. Too many job offers didn't match the description, this kind of user should be banned forever.",OLX
Daisy Uribe,1,2024-05-26 05:35:01,Always holding the lazpaylater even if you don't have a past due or you are not delinquent user!!! Not recommended this app better to use shopee or tiktok,Lazada
Arrestia Taufani,2,2024-05-26 01:20:55,"The latest update is disappointing. They change the product interface design which i assume lack of UX design approach by putting the reviews section first, before the product description. I totally prefer the previous interface.",Shopee
Yeremia David,1,2024-05-26 01:04:32,"Why suddenly items search/browse result is inaccurate and disorganized. Its annoying because i cant search for specific items now, fix it pls.",Tokopedia
Allyssa Ho Shuet Ling,5,2024-05-26 00:53:01,Its perfectand constent Accurate. Additional. How to purchase ?,Alibaba
Yohare Shiota,1,2024-05-25 22:52:36,"I've been having problem with my order not delivered to me due to your flash express courier. Omg , status delivered but i never received my orders!!!!!",Lazada
Bhan Banguot,5,2024-05-25 17:26:05,"Having 4 years stay in Trinity Lutheran college and getting a good knowledge and experience in the area of psychology and humanitarian concepts and skills. An enthusiastic, bright and capable worker who is experienced enough to be able to work independently. A quick learner who can absorb new ideas, communicate clearly and who also processes a good team spirit and deadline oriented. My highlights, willing to learn new things, strong communication skill, results oriented, operability and cocmite",Alibaba
Gomolemo Mokgatle,5,2024-05-25 15:17:00,A great app for business. Thanks for this platform. The suppliers are supers cheap,Alibaba
Sulaiman Al Harthi,5,2024-05-25 14:44:51,"Excellent, I like it so much I have tried many other apps but this one is exceptionally good I really love it .",Alibaba
Telda Tonapa,5,2024-05-25 14:27:51,People are responding to ads,OLX
RICARDO SOOKOO,5,2024-05-25 13:23:10,Very wide range to choose from its a general shopping site with some unusual and interesting products,Alibaba
Bryan Hernandez,5,2024-05-25 12:16:36,"it was a great help. better but here if you want electronics and branded items. Update, Still good.",Lazada
Abdur Rahamn,5,2024-05-25 10:53:24,Very very very very impressive app in the world you must try it and then you see the most amazing app ALIBABA ✅,Alibaba
Nabs Free,1,2024-05-25 09:53:33,"Previously I can see the discussion page between the seller and entire the candidate of buyers in the inbox . Now I can't see anymore, and I even can't see my discussion with the seller anymore too.",Tokopedia
Elie uhvO,5,2024-05-25 08:55:40,"It is a very beautiful application, everything in it is cheap and beautiful as well, there are things in Alibaba that are not available on Amazon, such as the jacuzzi, the toilet, and a number of things as well, I love this application very very much",Alibaba
Niv Lek,1,2024-05-25 08:15:32,"Everything is very slow and laggy Not to mention every single video will be automatically loaded especially the live stream from the seller the moment you tried to check the item you wanna buy but the image loading itself is very slow, can take even 5 minutes to load a single picture. Update: clearing cache nor update the app will help you load anyhing faster. You will wait a long time for a single picture to load, i have no problem running video on YT with 1080p60 HD quality but not this app.",Shopee
Raymond Loh,5,2024-05-25 07:23:37,This platform is very user-friendly and easy to navigate. Pricing is very competitive. Delivery due date mostly meets deadline. Lazada is way ahead with its return policy that none of its competitors are able to fulfil - speaking from my experiences with other platforms. Easy and prompt return policies make me buy with confidence without viewing or trying out the physical item/product. Keep it up!,Lazada
robert wijaya,1,2024-05-25 07:00:36,"good app, it's easy to use, a recommended app for online shopping customer .... But .... the reccomendation couriers are very bad .....slow as snails ...",Tokopedia
Gerardus Revin,3,2024-05-25 05:43:33,"Experienced so many bugs, one of the most annoying is we sometimes can't reply the buyers message, making us look like we ignore their messages. Pictures also commonly bugs as the product pictures don't load, while I have good connection and other products still shows up. Please fix ASAP, thank you.",OLX
Joachim Chow Kar keat,2,2024-05-25 04:16:17,App overall is ok. The only thing that is really annoying is Lazada doesn't allow you to disable promotions notifications at all. Yes they do have the option to disable but it's useless. I receive multiple notifications of offers every single hour.,Lazada
Ronald Hee,5,2024-05-25 03:50:29,"Been using for a few years and to be honest, preferred Shopee. In recent months, Lazada improved a lot. Buy four items, and shipping to your door is free, doesn't matter the value of the products. Lazada has a good refund policy. Shopee has also gotten harder to search, eg item listed at only 99 cents! But you go in and the product is several bucks and a cleaning cloth is 99 cents. Lazada listings don't seem to do this very often. Good job, Lazada! You're now the better shopping platform!",Lazada
Sarva,1,2024-05-25 02:42:16,"It's been a while I didn't review. So here i want to review hmm first the like button was to small. And why the shopee video voucher can't be applied when we're choose the payment take the package on shopee express? Why? I mean like the previous is able to use but why now like this? At least you're still gettin commission by the transaction why you make it harder, thanks",Shopee
Tommy B,5,2024-05-25 01:56:21,Nice app. Complicated but easy to use.,Tokopedia
Eiyanah Faye Fiel,1,2024-05-24 23:47:33,I've been using this app for several years and i find it easy to uninstalled because of many seller are scammer and not honest for what they are selling there picture products are good the the items thy deliver to your are All fakes.,Lazada
Youssef Kabouri,5,2024-05-24 22:20:14,Cheap things but idk the real prices cuz am morrocan and some times I don't know if the prices are with dollars or marocan dirhams,Alibaba
Rslyn Magarro,1,2024-05-24 22:07:21,"Before Lazada was my fave online app. However, right now, the worst online selling platform. Not sure if they changed management. Currently experiencing multiple undelivered items. Difficulty in requesting refund. Hard to get to a live agent. FIX THIS!!!!",Lazada
Erlan Anugrah Pratama,4,2024-05-24 21:51:12,Excellent for shopping. Just a little bit slow. Please fixed it,Shopee
Susie Yao,3,2024-05-24 20:03:52,"Recently, there seem to be top search items with reviews seemingly translated from out of country, products which turn out to be bad or broken, you should be aware this would keep people from using the app, from buying from you",Shopee
Holy EditsWrld,5,2024-05-24 18:19:09,"Wow, what an adventure! I just used the Alibaba app to purchase a simple machine, and I'm thrilled with the experience!",Alibaba
jepu,2,2024-05-24 18:11:16,"I did a negative but fair review about 4 years ago, now im doubling down because there is no progress. it seems like lazada is going backwards, their cs relies heavily on AI, I onced asked a return request for an item which i had to cancel because they did not come to the scheduled date but 5 days later, still cluttered with scam products and scammy copycat stores, late/vague tracking (especially LEX PH), i couldnt return a defective product (8k+) because apparently the courier doesnt ship to ch",Lazada
Celine Santos,3,2024-05-24 18:10:26,"i actually gave this a 5 star review a long time ago since it's better than the orange app but these days, the searches don't match with the results. like it's not even related and it's so inconvenient. i reported it in the app and even gave feedbacks but to no avail :((( huhu fix this",Lazada
Mary Rose Tiania,1,2024-05-24 17:45:07,"I'M ASSISTED WITH A VIETNAM LANGUAGE WITH VIETNAMESE SUPPORT WEB?! 7 of my orders from Choice (only) platform is still on SELLER TO PACK mode, I want to cancel it but system said that it can't be done. I made those orders more than a week ahead to make sure I'll get them by the 29th. It's 24th now but I'm still not getting those and packages are still not out for shipping, and the worse is those are still on my Lazpaylater bill, which is due on the 16th. This is absurd. Cleo is not helping me.",Lazada
Thea Jane,5,2024-05-24 14:02:29,"This is so very good app u can order things foods and others there's so much things u can buy in lazada and u can buy a gadgets that is for sale it,s so good so try it you'll never gonna sisi it self if u download it cause it,s helping u to find the things or foods u want",Lazada
Hendrik Schicke,1,2024-05-24 13:24:28,Not in English. And customer support are horrible. Better buy on shopee.,Tokopedia
Latika Evanthe Atreides,2,2024-05-24 13:23:35,"do you expect me to play games instead of shopping or what? the app is so heavy, bet those games took their roles in making this app supper buggy.",Shopee
Ivan Mpinga,5,2024-05-24 09:25:53,Interested with the app together with the goods available.,Alibaba
Mike Oakes Hart,3,2024-05-24 09:02:28,"It's seem I can't find a way to read the product descriptions and specifications unless after I made a purchase order. How the heck I supposed to know what included in the product, especially if the product has several variant.",Shopee
Tomas Chong,1,2024-05-24 08:56:08,"Many scam in the apps. Beware!! If you have a refund, it will take forever for Lazada to process. It definitely sucks. I sell my items in Shoppee but will not do it in Lazada due to poor management.",Lazada
iyan pardede,5,2024-05-24 06:45:35,"secure, good and user friendly UI",Tokopedia
madhusudan R R,2,2024-05-24 06:36:55,Most of the sellers are fraud thy mention cheep price when you contact them thy rise the price and export charges some of them don't reply I spent a month to get good deal with this app and sellers. It's a waste of time and money don't download and waste your time😤😠😠😡,Alibaba
Ehm Bolo,1,2024-05-24 06:28:28,CS is useless. Can't use LAZPAY even tho I already paid my dues. Got enough credit balance but still can't purchase. 😑,Lazada
Anastasia Ali,2,2024-05-24 05:31:16,"I use to like shopping with Lazada, but last month have to cancel few order due not noticing I'm ordering from overseas. Shops have not any mark to see if its overseas placed and delivery surely will take a week minimum. This is highly uncoftable for buyer. Only after order shipped out I can see its from overseas. Lazada plz fix this problem, we want to know from where we ordering things to estimate time of delivery.",Lazada
Karakiri Kurakuru,4,2024-05-24 03:11:48,It's great but slow most of the time Edit: Already did! But it does tend to be slow although it got better,Shopee
Siem Meng Tan,5,2024-05-24 02:50:40,there are a lots of discount . I just bought a headphone that cost 13$ but Lazada gave me a discount of price $12.74. I kind of like Lazada now . unlike shopee. they charge shipping fees very high n I went to Lazada found the same thing it cost less than Shopee,Lazada
Suzanne Turner,5,2024-05-24 02:27:26,Love this site so many products and great prices. Haven't asked shipping costs yet though,Alibaba
Dipa Mochammad,3,2024-05-24 01:57:00,"Dark mode optional theme please, everytime I'm opening this app I've got eyestrain 👀",Shopee
aji darma bhakti,1,2024-05-24 01:40:32,"My app looping when start the apps, nothing i can do, its trying to open the ads or something but it getting close again, and its looping",Shopee
Sameer Al-Sulaimi,1,2024-05-23 19:20:51,In the last updated version they stopped the search by photo. You should bring it back as it was very helpful.,Alibaba
Jaxz Lavallee,1,2024-05-23 18:01:49,3 years later and charging almost 4x the total price for for items. Sick human,Alibaba
cRinkLy paNty,1,2024-05-23 17:06:24,Just because your ads in game apps were the most annoying. Doesn't close even if you've been trying to close for several attempts.,Lazada
Ayeshaa,5,2024-05-23 17:00:55,"I love this app so much, very helpful, very chic, and IYKYK. 🛍️🛒✨",Shopee
Pawl Lodicakes,1,2024-05-23 16:32:10,I watch ads in games for stuff and every ad of you automatically redirects to the app i hate you I'll uninstall,Lazada
Emoto Kae,5,2024-05-23 15:55:37,First time and very interesting 🤔to know and would like to venture into this world of riches.,Alibaba
Lei Acosta,5,2024-05-23 15:10:22,"Price is sometimes higher than the other shopping apps, but I find myself enjoying shopping in here. There's plenty of vouchers.",Lazada
Awan Pandan,1,2024-05-23 12:41:47,"I'd been updated the Latest Version but in My Samsung device on Android 10 has a Lag when I'm Scroling and runing very slowly in my device... Please FIX this problem cause it very disturb me in my daily activity, thanks...",Shopee
Aeron Gabriel Molina,1,2024-05-23 12:35:54,Hi how can i fix this?it always says too many attempts i waited for several days to try again but it only says too many attempts i want to change my mobile number BECAUSE the previous one is loss please fix this thing to change my mobile number as soon as possible for my lazpaylater thankyou fix it right now,Lazada
Hendi Sutanto,5,2024-05-23 10:05:14,"Original brands with attractive discounts. In the case of returning goods, we can do it easily without any complicating requirements. Nice experience in online shopping with Zalora.",Zalora
Steve Araeb,5,2024-05-23 09:03:28,"Awesome, greatfull! I feel very happy for this sign up to make business with your v esteemed organisation. Thanks",Alibaba
Yahya Hijir,5,2024-05-23 08:58:18,Shopee as market place has been experienced in making the seller to determine goods such as time delevery good in chating also the quality. Shopee in the situation that the customer had complained they able to follow up the matter to be cleared soon. Shopee in providing the goods differ with the other market place means the customer can easy search items and chose what their need.,Shopee
Onur,3,2024-05-23 08:28:28,"App sucks! There are tons of annoying, useless, disruptive notifications which is impossible to turn off and they send on a regular basis! It's also impossible to turn off ""ask me"" feature! I'm not even mentioning stupid watching video stuff! If i wanna watch a video, I'll watch reel or short on social media apps! Developers should copy apps like amazon or hepsiburada and learn how to code a shopping app! Simplicity is the key!",Lazada
althea,3,2024-05-23 08:04:00,"incredibly unoptimized. it's still usable yes but it lags so much no matter which device i used this on. come on, this is just an online shopping platform, not some heavy software which requires the nasa specs.",Shopee
Audy Zandri,1,2024-05-23 07:35:23,"the force update replace the old semi functional app with something that split the screen between product photo and description for no good reason, without the option to turn it off like whatsapp, a non-functioning search page that shows more than twice the add and... well for now I just stop using this app...",Tokopedia
Joyce Ann Dela cruz,1,2024-05-23 06:57:17,"Every thing was fine delivery man was good items are fine every time i buy things, but theres one thing makes me so disasppoint. Lazpay, i send valid i.d and i have job, i am online seller at my home town, beside from that i am one of the seller at the seataoo app, then you rejected me, you didnt even gave me a chance to avail it. But i saw some of my few friends you approve them even if they dont have worked. Its unfair because i was a good payer with have a extra income and 2 account",Lazada
